toy_name,colection,price,discount,age,pieces,calification,llavero,original,adult
Coche Eléctrico de Olivia,Friends,349.0,30,6,183,4.9,False,True,False
Tienda de Dónuts,Friends,259.0,30,4,63,5.0,False,True,False
Academia Espacial de Olivia,Friends,1799.0,30,8,757,4.9,False,True,False
Vehículo de Salvamento de Tortugas,Friends,259.0,30,6,90,4.8,False,True,False
Calendario de Adviento 2023 LEGO® Friends,Friends,869.0,30,6,231,3.1,False,True,False
Escuela Internacional de Heartlake,Friends,2599.0,0,8,985,4.8,False,True,False
Boutique de Moda Móvil,Friends,259.0,30,6,94,4.9,False,True,False
Casa de Paisley,Friends,999.0,0,4,185,5.0,False,True,False
Puesto Móvil de Té de Burbujas,Friends,259.0,30,6,109,4.6,False,True,False
Peluquería,Friends,999.0,20,6,401,4.8,False,True,False
Aventura en el Iglú,Friends,1299.0,30,8,491,4.9,False,True,False
Autobús de Heartlake City,Friends,1299.0,0,7,480,4.7,False,True,False
Base Espacial de Marte y Cohete,Friends,1999.0,0,8,981,,False,True,False
Pastelería Móvil,Friends,279.0,0,6,125,,False,True,False
Autobús de Gran Gira Musical,Friends,2199.0,0,8,845,,False,True,False
Espectáculo de Talentos Musicales de Heartlake City,Friends,1599.0,0,7,669,,False,True,False
Bosque: Cascada,Friends,249.0,30,5,93,4.8,False,True,False
Fiesta Musical de Karaoke,Friends,499.0,0,6,196,,False,True,False
Albergue de Animales de Granja,Friends,1399.0,0,6,489,,False,True,False
Vehículo de Observación de Estrellas,Friends,759.0,0,7,364,,False,True,False
Aventura en el Parque Felino,Friends,279.0,0,5,87,,False,True,False
Escuela de Teatro de Andrea,Friends,2599.0,30,8,1154,4.8,False,True,False
Tienda de Moda Retro,Friends,1149.0,0,6,409,,False,True,False
Coche Eléctrico y Cargador,Friends,399.0,0,6,170,,False,True,False
Parque para Hámsters,Friends,499.0,0,6,167,,False,True,False
Ambulancia del Hospital de Heartlake City,Friends,869.0,0,6,344,,False,True,False
Hotel Felino,Friends,749.0,30,6,445,5.0,False,True,False
Puesto de Tortitas,Friends,279.0,0,6,157,5.0,False,True,False
Casa del Árbol de la Amistad,Friends,2099.0,0,8,1114,4.6,False,True,False
Camión de Perritos Calientes,Friends,499.0,0,4,100,,False,True,False
Minitienda de Accesorios,Friends,279.0,0,6,129,,False,True,False
Parque de Atracciones en la Playa,Friends,2999.0,0,12,1348,4.8,False,True,False
Centro de Día para Mascotas,Friends,1799.0,30,7,593,4.9,False,True,False
Camión de los Helados,Friends,529.0,30,4,84,4.9,False,True,False
Divertido Buggy Playero,Friends,279.0,0,4,61,4.4,False,True,False
Habitación de Nova,Friends,499.0,0,6,179,4.8,False,True,False
Casa de Autumn,Friends,1799.0,0,7,853,4.9,False,True,False
Habitación de Liann,Friends,499.0,0,6,204,5.0,False,True,False
Pista de Esquí y Cafetería,Friends,1999.0,0,9,980,4.9,False,True,False
Parque Acuático,Friends,1299.0,30,6,373,4.9,False,True,False
Bici de Rescate Canino,Friends,259.0,0,6,125,4.9,False,True,False
Granja Orgánica,Friends,2399.0,30,7,826,5.0,False,True,False
Vehículo de Plantación de Árboles,Friends,799.0,30,6,336,4.9,False,True,False
Excursión de Vacaciones,Friends,499.0,20,4,87,4.8,False,True,False
Habitación de Leo,Friends,499.0,0,6,203,4.8,False,True,False
Pizzería de Heartlake City,Friends,399.0,30,5,144,4.9,False,True,False
Salón Recreativo Roller Disco,Friends,1599.0,30,7,642,4.9,False,True,False
Unidad Móvil de Noticias,Friends,759.0,0,6,446,4.9,False,True,False
Centro de Rescate Canino,Friends,1499.0,0,7,617,5.0,False,True,False
Cobertizo del Ternero de Autumn,Friends,279.0,0,5,79,,False,True,False
Día de Adopción de Mascotas,Friends,1149.0,0,6,400,,False,True,False
Remolque para Caballo y Poni,Friends,499.0,0,4,105,,False,True,False
Avión de Rescate Marítimo,Friends,499.0,0,6,203,5.0,False,True,False
Camión de Reciclaje,Friends,529.0,30,6,259,4.7,False,True,False
Barco de Rescate Marítimo,Friends,1999.0,0,7,717,4.8,False,True,False
Aventura Marinera de Stephanie,Friends,1099.0,0,7,304,5.0,False,True,False
Centro Deportivo,Friends,2399.0,0,8,832,4.9,False,True,False
Clínica Veterinaria de Animales de Granja,Friends,759.0,0,4,161,,False,True,False
Parque de Skate,Friends,1299.0,20,6,431,4.9,False,True,False
Clase de Equitación,Friends,759.0,0,4,134,5.0,False,True,False
Habitación de Aliya,Friends,499.0,0,6,209,4.8,False,True,False
Furgoneta de Rescate Canino,Friends,749.0,20,6,300,4.7,False,True,False
Establo de Autumn,Friends,1499.0,0,7,545,4.7,False,True,False
Estación de Lavado de Ponis,Friends,259.0,30,4,60,4.9,False,True,False
Centro de Rescate Marítimo,Friends,1299.0,0,7,376,4.7,False,True,False
Rescate de la Fauna Salvaje de Mia,Friends,1299.0,30,7,430,4.9,False,True,False
Glamping en la Playa,Friends,1099.0,30,6,380,4.9,False,True,False
Cafetería de Adopción de Mascotas,Friends,799.0,30,6,292,4.9,False,True,False
Remolque de Exhibición Equina,Friends,2599.0,0,8,989,5.0,False,True,False
Banco Mágico Gringotts™: Edición para Coleccionistas,Harry Potter™,10499.0,0,18,4801,4.8,False,False,True
Castillo de Hogwarts™,Harry Potter™,10999.0,0,16,6020,4.7,False,False,True
Castillo y Terrenos de Hogwarts™,Harry Potter™,4199.0,0,18,2660,4.6,False,False,True
Callejón Diagon,Harry Potter™,10499.0,0,16,5544,4.6,False,False,True
Dobby™ el Elfo Doméstico,Harry Potter™,869.0,0,8,403,4.8,False,False,False
Iconos de Hogwarts™: Edición para Coleccionistas,Harry Potter™,7499.0,0,18,3010,4.8,False,False,True
Dragón Colacuerno Húngaro,Harry Potter™,1299.0,0,10,671,4.6,False,False,False
Expreso de Hogwarts: Edición para Coleccionistas,Harry Potter™,12499.0,30,18,5129,3.9,False,False,True
Batalla de Hogwarts™,Harry Potter™,1999.0,0,9,730,4.6,False,False,False
Expecto Patronum,Harry Potter™,1799.0,0,14,754,4.4,False,False,True
Ministerio de Magia,Harry Potter™,2599.0,30,9,990,3.6,False,False,False
Ford Anglia™ Volador,Harry Potter™,349.0,0,7,165,,False,False,False
Hogwarts™: Sala de los Menesteres,Harry Potter™,1299.0,20,8,587,4.8,False,False,False
Hogwarts™: Cámara Secreta,Harry Potter™,3999.0,0,9,1176,4.4,False,False,False
Cabaña de Hagrid: Una Visita Inesperada,Harry Potter™,1899.0,0,8,896,,False,False,False
Callejón Diagon: Sortilegios Weasley,Harry Potter™,2299.0,0,8,834,4.9,False,False,False
Ala de Enfermería de Hogwarts™,Harry Potter™,1299.0,30,8,510,4.6,False,False,False
Torneo de los Tres Magos: El Lago Negro,Harry Potter™,1099.0,0,8,349,4.7,False,False,False
"Harry, Hermione, Ron y Hagrid™",Harry Potter™,619.0,30,10,466,4.7,False,False,False
Llavero de Hermione,Harry Potter™,149.0,0,6,1,,True,False,False
Lechucería del Castillo de Hogwarts™,Harry Potter™,1149.0,0,8,364,,False,False,False
Patio de Hogwarts™: Rescate de Sirius,Harry Potter™,1299.0,30,8,345,2.9,False,False,False
Estandarte de la Casa Slytherin™,Harry Potter™,849.0,30,9,349,3.7,False,False,False
Visita a la Aldea de Hogsmeade™,Harry Potter™,2299.0,0,8,851,4.5,False,False,False
Harry Potter™ y Cho Chang,Harry Potter™,499.0,0,10,267,5.0,False,False,False
Bosque Prohibido: Criaturas Mágicas,Harry Potter™,759.0,0,8,172,,False,False,False
Tren Hogwarts Express™ con estación de Hogsmeade™,Harry Potter™,3399.0,0,8,1074,4.6,False,False,False
Hogwarts™: Despacho de Dumbledore,Harry Potter™,2099.0,0,8,654,4.7,False,False,False
Casa de los Gritos y Sauce Boxeador,Harry Potter™,2399.0,0,9,777,4.8,False,False,False
Baúl de Quidditch™,Harry Potter™,1699.0,0,9,599,4.4,False,False,False
Cobertizo del Castillo de Hogwarts™,Harry Potter™,949.0,0,8,350,,False,False,False
Número 12 de Grimmauld Place,Harry Potter™,3199.0,0,8,1083,4.3,False,False,False
Torre de Astronomía de Hogwarts™,Harry Potter™,2599.0,0,9,971,4.5,False,False,False
Baúl Mágico de Hogwarts™,Harry Potter™,1599.0,30,8,603,4.2,False,False,False
LEGO® Harry Potter™: Calendario de Adviento 2023,Harry Potter™,1149.0,30,7,227,4.0,False,False,False
Carruaje y Thestrals de Hogwarts™,Harry Potter™,529.0,0,7,121,4.5,False,False,False
Hedwig™ en el Número 4 de Privet Drive,Harry Potter™,499.0,0,7,337,,False,False,False
Estandarte de la Casa Gryffindor™,Harry Potter™,849.0,30,9,285,4.4,False,False,False
Llavero de Voldemort™,Harry Potter™,149.0,30,6,1,,True,False,False
Número 4 de Privet Drive,Harry Potter™,1999.0,0,8,797,4.7,False,False,False
Pack de Accesorios: Hogwarts™,Harry Potter™,349.0,30,8,234,2.7,False,False,False
Profesores de Hogwarts™,Harry Potter™,999.0,30,10,601,4.8,False,False,False
Llavero de Dumbledore,Harry Potter™,149.0,30,6,1,5.0,True,False,False
Draco Malfoy™ y Cedric Diggory,Harry Potter™,499.0,0,10,262,5.0,False,False,False
Kit de Escritorio: Hogwarts™,Harry Potter™,1099.0,30,8,856,3.7,False,False,False
Kingsley Shacklebolt™ y Nymphadora Tonks™,Harry Potter™,499.0,20,10,250,5.0,False,False,False
Llavero de Harry Potter™,Harry Potter™,149.0,0,6,1,5.0,True,False,False
Hogwarts™: Fallo de la Poción Multijugos,Harry Potter™,469.0,0,7,217,4.8,False,False,False
Estandarte de la Casa Hufflepuff™,Harry Potter™,849.0,20,9,313,4.3,False,False,False
Hedwig™,Harry Potter™,999.0,0,10,630,4.6,False,False,False
Estandarte de la Casa Ravenclaw™,Harry Potter™,849.0,30,9,305,4.3,False,False,False
Portalápices Hedwig™,Harry Potter™,529.0,30,6,518,5.0,False,False,False
Llavero de Ron,Harry Potter™,149.0,20,6,1,,True,False,False
Cámara Polaroid OneStep SX-70,Ideas,1999.0,0,18,516,4.6,False,True,True
Tren Orient Express,Ideas,7499.0,0,18,2540,4.0,False,True,True
The Office,Ideas,2999.0,0,18,1164,4.5,False,True,True
Vincent van Gogh: La Noche Estrellada,Ideas,4299.0,0,18,2316,4.9,False,True,True
LEGO® Ideas: Home Alone,Ideas,7299.0,0,18,3955,4.8,False,True,True
Historias de la Era Espacial,Ideas,1299.0,0,18,688,4.8,False,True,True
Colección de Insectos,Ideas,1999.0,0,18,1111,4.9,False,True,True
Disney El Retorno de las Brujas: Cabaña de las Hermanas Sanderson,Ideas,5499.0,0,18,2316,4.6,False,True,True
Globo Terráqueo,Ideas,5499.0,0,18,2585,4.6,False,True,True
Cabaña en A,Ideas,4299.0,0,18,2082,4.9,False,True,True
BTS Dynamite,Ideas,2599.0,20,18,749,4.7,False,True,True
Cuarteto de Jazz,Ideas,2599.0,0,18,1606,4.7,False,True,True
Casa del Árbol,Ideas,5799.0,0,16,3036,4.6,False,True,True
LEGO® Ideas: Fender® Stratocaster™,Ideas,2999.0,0,18,1074,4.7,False,True,True
Máquina de Escribir,Ideas,6199.0,0,18,2079,4.4,False,True,True
Poblado Vikingo,Ideas,3399.0,0,18,2103,4.8,False,True,True
Piano de Cola,Ideas,9499.0,0,18,3662,5.0,False,True,True
Faro Motorizado,Ideas,7499.0,30,18,2065,4.6,False,True,True
Sonic the Hedgehog™ – Green Hill Zone,Ideas,1999.0,0,18,1125,4.6,False,True,True
Futbolín,Ideas,6199.0,40,18,2339,3.9,False,True,True
Winnie the Pooh,Ideas,2599.0,0,18,1265,4.7,False,True,True
Herrería Medieval,Ideas,4299.0,0,18,2164,4.9,False,True,True
Árbol de la Familia,Ideas,1999.0,0,18,1040,,False,True,True
Fósiles de Dinosaurio: Cráneo de T. rex,Jurassic World,999.0,0,9,577,,False,False,False
Fuga del T. rex,Jurassic World,2599.0,0,18,1212,4.6,False,False,True
Centro de Rescate de Crías de Dinosaurio,Jurassic World,999.0,0,4,139,,False,False,False
Descubrimiento del Braquiosaurio,Jurassic World,1999.0,0,9,512,4.4,False,False,False
Emboscada al Dilofosaurio,Jurassic World,499.0,0,6,211,4.6,False,False,False
Análisis del Triceratops,Jurassic World,1299.0,0,8,281,3.9,False,False,False
Huida del Velocirraptor,Jurassic World,999.0,0,4,137,3.1,False,False,False
Persecución en Moto del Dinosaurio Atrocirraptor,Jurassic World,529.0,30,6,169,4.6,False,False,False
Centro de Visitantes: T. rex y Ataque del Raptor,Jurassic World,3399.0,30,12,693,4.3,False,False,False
Ataque del Giganotosaurio y el Therizinosaurio,Jurassic World,3699.0,0,9,810,4.9,False,False,False
Fuga de los Dinosaurios T. rex y Atrocirraptor,Jurassic World,2599.0,30,8,466,4.7,False,False,False
Emboscada en Furgoneta del Triceratops,Jurassic World,1099.0,30,7,210,5.0,False,False,False
Fuga del Dinosaurio T. rex,Jurassic World,1299.0,0,4,140,4.3,False,False,False
Captura de los Velocirraptores Blue y Beta,Jurassic World,799.0,0,6,181,4.8,False,False,False
Emboscada Aérea del Quetzalcoatlus,Jurassic World,1099.0,30,7,306,4.9,False,False,False
Transporte del Pyrorraptor y el Dilofosaurio,Jurassic World,1099.0,0,7,254,4.4,False,False,False
Caza del Pteranodon,Jurassic World,529.0,30,4,94,4.8,False,False,False
MiniNook y casa de Minina,LEGO® Animal Crossing™,1899.0,0,7,535,,False,False,False
La visita de Canela,LEGO® Animal Crossing™,999.0,0,6,389,,False,False,False
Paseo en barca con el Capitán,LEGO® Animal Crossing™,759.0,0,6,233,,False,False,False
Fiesta de cumpleaños de Azulino,LEGO® Animal Crossing™,349.0,0,6,170,,False,False,False
Bunnie's Outdoor Activities,LEGO® Animal Crossing™,499.0,0,6,164,,False,False,False
Hokusai: La Gran Ola,LEGO® Art,2599.0,0,18,1810,4.7,False,True,True
El Increíble Spider-Man,LEGO® Art,4999.0,0,18,2099,5.0,False,True,True
Arte Floral,LEGO® Art,2099.0,30,18,2870,4.3,False,True,True
Colección Fauna: Guacamayos,LEGO® Art,1499.0,0,18,644,5.0,False,True,True
The Rolling Stones,LEGO® Art,3999.0,30,18,1998,3.1,False,True,True
Arte Moderno,LEGO® Art,1299.0,0,18,805,3.7,False,True,True
Jim Lee: Colección de Batman™,LEGO® Art,3199.0,30,18,4167,4.8,False,True,True
Mapamundi,LEGO® Art,6199.0,0,18,11695,4.3,False,True,True
Toruk Makto y Árbol de las Almas,LEGO® Avatar,3999.0,0,12,1212,4.7,False,False,False
Montañas Flotantes: Sector 26 y Samson de la RDA,LEGO® Avatar,2599.0,40,9,887,4.8,False,False,False
Primer Vuelo en Banshee de Jake y Neytiri,LEGO® Avatar,1599.0,0,9,572,4.9,False,False,False
Neytiri y Thanator vs. Quaritch con Armadura AMP,LEGO® Avatar,1099.0,30,9,560,4.8,False,False,False
Descubrimiento del Ilu,LEGO® Avatar,599.0,0,8,179,5.0,False,False,False
Aventura en Skimwing,LEGO® Avatar,849.0,0,8,259,4.8,False,False,False
Submarino Mako,LEGO® Avatar,1499.0,30,9,553,4.8,False,False,False
Jake Sully y su Avatar,LEGO® Avatar,499.0,40,10,246,5.0,False,False,False
Payakan el Tulkun y Crabsuit,LEGO® Avatar,2599.0,30,10,761,4.7,False,False,False
Hogar en el Arrecife de los Metkayina,LEGO® Avatar,1999.0,30,9,528,4.8,False,False,False
Navetiburón de las Pesadillas,LEGO® DREAMZzz™,3699.0,0,10,1389,4.8,False,True,False
Aldea de los Sueños,LEGO® DREAMZzz™,699.0,0,7,434,4.8,False,True,False
Furgoneta-Tortuga de la Sra. Castillo,LEGO® DREAMZzz™,1199.0,0,7,434,4.9,False,True,False
Globo-Narval de Izzie,LEGO® DREAMZzz™,399.0,0,7,156,,False,True,False
Mateo y Z-Blob Robot,LEGO® DREAMZzz™,499.0,0,7,237,4.9,False,True,False
Coche Todoterreno de Mateo,LEGO® DREAMZzz™,259.0,0,7,94,,False,True,False
Torre del Sandman,LEGO® DREAMZzz™,2299.0,0,9,723,,False,True,False
Coche Espacial del Sr. Oz,LEGO® DREAMZzz™,759.0,0,8,350,,False,True,False
Zoey y Zian el Gato-Búho,LEGO® DREAMZzz™,1299.0,0,9,437,,False,True,False
Casa del Árbol Fantástica,LEGO® DREAMZzz™,2799.0,0,9,1257,4.9,False,True,False
Autobús Espacial del Sr. Oz,LEGO® DREAMZzz™,2599.0,0,9,878,5.0,False,True,False
Coche-Cocodrilo,LEGO® DREAMZzz™,1499.0,0,8,494,4.9,False,True,False
Monstruo de la Jaula,LEGO® DREAMZzz™,949.0,0,7,274,5.0,False,True,False
Caballo Volador Pegaso,LEGO® DREAMZzz™,1299.0,0,8,482,4.9,False,True,False
Izzie y el Conejo Bunchu,LEGO® DREAMZzz™,499.0,0,7,259,5.0,False,True,False
Establo de Criaturas de los Sueños,LEGO® DREAMZzz™,1999.0,0,8,681,4.8,False,True,False
La Casa de Muñecas de Gabby,LEGO® La Casa de Muñecas de Gabby,1999.0,0,4,498,4.3,False,False,False
Fiesta en el Jardín de Hadigata,LEGO® La Casa de Muñecas de Gabby,869.0,0,4,130,5.0,False,False,False
Barco y Spa de Gabby y Siregata,LEGO® La Casa de Muñecas de Gabby,499.0,0,4,88,4.8,False,False,False
Horno de Muffin,LEGO® La Casa de Muñecas de Gabby,279.0,0,4,58,5.0,False,False,False
Ramo de Rosas,LEGO® Icons,1499.0,0,18,822,5.0,False,True,True
Plantas Diminutas,LEGO® Icons,1299.0,0,18,758,4.8,False,True,True
Ramo de Flores Silvestres,LEGO® Icons,1499.0,0,18,939,4.9,False,True,True
Bonsái,LEGO® Icons,1299.0,0,18,878,4.5,False,True,True
Orquídeas,LEGO® Icons,1299.0,0,18,608,4.8,False,True,True
Torre Eiffel,LEGO® Icons,14999.0,0,18,10001,4.2,False,True,True
LEGO®: Titanic,LEGO® Icons,16499.0,0,18,9090,4.8,False,True,True
Ramo de Flores,LEGO® Icons,1499.0,0,18,756,4.9,False,True,True
Museo de Historia Natural,LEGO® Icons,7499.0,0,18,4014,4.7,False,True,True
Concorde,LEGO® Icons,4999.0,0,18,2083,4.8,False,True,True
Máquina de PAC-MAN,LEGO® Icons,6699.0,0,18,2651,4.8,False,True,True
Castillo de los Caballeros del León,LEGO® Icons,9499.0,30,18,4514,4.7,False,True,True
EL SEÑOR DE LOS ANILLOS: RIVENDEL,LEGO® Icons,12499.0,0,18,6167,4.9,False,True,True
Corvette,LEGO® Icons,3999.0,0,18,1210,4.8,False,True,True
Suculentas,LEGO® Icons,1299.0,0,18,771,4.8,False,True,True
Jardín Meditativo,LEGO® Icons,2799.0,0,18,1363,5.0,False,True,True
Chevrolet Camaro Z28,LEGO® Icons,4099.0,30,18,1456,4.7,False,True,True
Refugio Alpino,LEGO® Icons,2599.0,0,18,1517,4.7,False,True,True
Centro de Flores Secas,LEGO® Icons,1299.0,0,18,812,4.7,False,True,True
Porsche 911,LEGO® Icons,4099.0,0,18,1458,4.6,False,True,True
Máquina del Tiempo de Regreso al Futuro,LEGO® Icons,4999.0,0,18,1872,4.5,False,True,True
Montaña Rusa con Rizos,LEGO® Icons,9499.0,30,18,3756,4.0,False,True,True
Fortaleza Eldorado,LEGO® Icons,5299.0,0,18,2509,4.7,False,True,True
Transbordador Espacial Discovery de la NASA,LEGO® Icons,4999.0,0,18,2354,4.8,False,True,True
Vespa 125,LEGO® Icons,2599.0,0,18,1107,3.9,False,True,True
Club de Jazz,LEGO® Icons,5499.0,0,18,2899,4.2,False,True,True
Atari® 2600,LEGO® Icons,5799.0,30,18,2532,4.8,False,True,True
Dune: Atreides Royal Ornithopter,LEGO® Icons,4099.0,0,18,1369,,False,True,True
Land Rover Classic Defender 90,LEGO® Icons,5799.0,0,18,2336,4.3,False,True,True
ECTO-1 de los Cazafantasmas,LEGO® Icons,5799.0,0,18,2352,4.6,False,True,True
Casa Encantada de la Feria,LEGO® Icons,7299.0,0,18,3231,4.5,False,True,True
Hotel Boutique,LEGO® Icons,5499.0,0,18,3066,4.5,False,True,True
Optimus Prime,LEGO® Icons,4299.0,0,18,1508,4.2,False,True,True
Furgoneta Clásica,LEGO® Icons,3399.0,0,18,1677,4.1,False,True,True
Calle Principal en Navidad,LEGO® Icons,2599.0,0,18,1514,4.3,False,True,True
Galaxy Explorer,LEGO® Icons,2599.0,30,18,1254,4.8,False,True,True
Coliseo,LEGO® Icons,12999.0,30,18,9036,4.3,False,True,True
Estadio del Real Madrid – Santiago Bernabéu,LEGO® Icons,9499.0,30,18,5876,4.8,False,True,True
Apartamentos de Friends,LEGO® Icons,4299.0,0,18,2048,4.6,False,True,True
Ave del Paraíso,LEGO® Icons,2599.0,0,18,1173,4.6,False,True,True
Comisaría de Policía,LEGO® Icons,4999.0,30,18,2923,4.5,False,True,True
Visita de Papá Noel,LEGO® Icons,2599.0,20,18,1445,4.8,False,True,True
Huida de la Tumba Perdida,LEGO® Indiana Jones™,999.0,30,8,600,4.8,False,False,False
Templo del Ídolo Dorado,LEGO® Indiana Jones™,3999.0,0,18,1545,4.8,False,False,True
Persecución del Caza,LEGO® Indiana Jones™,849.0,0,8,387,4.6,False,False,False
Planta Piraña,LEGO® Super Mario™,1499.0,0,18,540,4.7,False,False,True
Nintendo Entertainment System™,LEGO® Super Mario™,6499.0,0,18,2646,4.7,False,False,True
El Poderoso Bowser™,LEGO® Super Mario™,6499.0,0,18,2807,5.0,False,False,True
Pack Inicial: Aventuras con Mario,LEGO® Super Mario™,1499.0,0,6,231,3.5,False,False,False
Bloque Interrogación de Super Mario 64™,LEGO® Super Mario™,4999.0,0,18,2064,4.7,False,False,True
Set de Expansión: Coche monstruoso de Bowser,LEGO® Super Mario™,759.0,0,8,458,,False,False,False
Set de Expansión: Aventura en la nieve de la familia Pingüi,LEGO® Super Mario™,469.0,0,7,228,5.0,False,False,False
Set de Expansión: Caco Gazapo en la tienda de Toad,LEGO® Super Mario™,469.0,0,7,230,,False,False,False
Set de Expansión: Huevo de Yoshi en el bosque,LEGO® Super Mario™,259.0,0,6,107,,False,False,False
Set de Expansión: Dorrie y el buque naufragado,LEGO® Super Mario™,1149.0,0,7,500,,False,False,False
Pack Inicial: Aventuras con Peach,LEGO® Super Mario™,1499.0,0,6,354,4.3,False,False,False
Set de Expansión: Batalla contra Bowsitos en el castillo,LEGO® Super Mario™,2799.0,0,8,1321,4.5,False,False,False
Set de Expansión: Fortalezas aéreas de Larry y Morton,LEGO® Super Mario™,1999.0,0,8,1062,5.0,False,False,False
Set de Expansión: Cabezazo del Picacóndor,LEGO® Super Mario™,349.0,30,6,130,4.5,False,False,False
Set de Expansión: Casa del árbol de Donkey Kong,LEGO® Super Mario™,1499.0,0,8,555,4.9,False,False,False
Set de Expansión: Castillo de Peach,LEGO® Super Mario™,3499.0,0,8,1216,2.9,False,False,False
Pack Inicial: Aventuras con Luigi,LEGO® Super Mario™,1499.0,0,6,280,4.8,False,False,False
Set de Expansión: Desafío en las nubes del Gran Spike,LEGO® Super Mario™,1899.0,30,7,540,3.4,False,False,False
Set de Expansión: Traje de Mario de Hielo y Mundo Helado,LEGO® Super Mario™,599.0,20,6,105,4.5,False,False,False
Set de Expansión: Zapato Goomba,LEGO® Super Mario™,259.0,30,6,76,4.5,False,False,False
"Set de Expansión: Rambi, el rinoceronte",LEGO® Super Mario™,279.0,0,7,106,4.0,False,False,False
Set de Expansión: Casa-regalo de Yoshi,LEGO® Super Mario™,799.0,30,6,246,5.0,False,False,False
Set de Expansión: Torre de Hielo y Traje de Peach Felina,LEGO® Super Mario™,2099.0,30,7,494,5.0,False,False,False
Set de Expansión: Gran ola de lava,LEGO® Super Mario™,849.0,20,7,218,4.9,False,False,False
Set de Expansión: Vagoneta minera de Diddy Kong,LEGO® Super Mario™,2799.0,0,8,1157,5.0,False,False,False
Set de Expansión: Pícnic en casa de Mario,LEGO® Super Mario™,949.0,0,6,259,4.7,False,False,False
Set de Expansión: Aventura en la nieve de la Morsik,LEGO® Super Mario™,1599.0,20,7,567,4.9,False,False,False
Set de Expansión: Paseo en globo por el jardín de Peach,LEGO® Super Mario™,1299.0,0,7,453,4.9,False,False,False
Set de Expansión: Jaleo en la jungla con Dixie Kong,LEGO® Super Mario™,679.0,0,7,174,4.7,False,False,False
Set de Creación: Caja de herramientas creativas,LEGO® Super Mario™,1499.0,20,6,588,5.0,False,False,False
Packs de Personajes: Edición 6,LEGO® Super Mario™,159.0,30,7,52,3.9,False,False,False
Set de Expansión: Gran Isla del Mal,LEGO® Super Mario™,1099.0,30,7,354,4.9,False,False,False
EL SEÑOR DE LOS ANILLOS: RIVENDEL,Lord of the Rings™,12499.0,0,18,6167,4.9,False,False,True
Aragorn™ y Arwen™,Lord of the Rings™,499.0,20,10,261,5.0,False,False,False
Frodo™ y Gollum™,Lord of the Rings™,359.0,20,10,184,4.7,False,False,False
Gandalf el Gris y Balrog™,Lord of the Rings™,499.0,0,10,348,4.7,False,False,False
Torre de los Vengadores,Marvel,12499.0,0,18,5201,4.8,False,False,True
Batalla Final de Spider-Man,Marvel,2799.0,0,10,900,4.8,False,False,False
Spiderman vs. Sandman: Batalla Final,Marvel,949.0,0,10,347,5.0,False,False,False
X-Jet de los X-Men,Marvel,2199.0,0,8,359,2.5,False,False,False
Máscara de Spider-Man,Marvel,1799.0,0,18,487,,False,False,True
Daily Bugle,Marvel,8699.0,0,18,3772,4.6,False,False,True
Guantelete del Infinito,Marvel,1999.0,0,18,590,5.0,False,False,True
Llavero de Miles Morales,Marvel,149.0,0,6,1,5.0,True,False,False
Escudo del Capitán América,Marvel,4999.0,0,18,3128,4.7,False,False,True
Santuario,Marvel,6199.0,30,18,2708,4.6,False,False,True
Armadura Robótica de Máquina de Guerra,Marvel,349.0,0,6,154,,False,False,False
Persecución en Moto: Spider-Man vs. Doc Ock,Marvel,259.0,0,6,77,,False,False,False
Figura de Miles Morales,Marvel,649.0,30,8,238,4.5,False,False,False
Quinjet de los Vengadores,Marvel,2599.0,0,9,795,4.8,False,False,False
Hulkbuster: Batalla de Wakanda,Marvel,1299.0,0,8,385,4.0,False,False,False
Nanoguantelete,Marvel,1799.0,0,18,675,4.4,False,False,True
Martillo de Thor,Marvel,2599.0,0,18,979,4.4,False,False,True
El Increíble Spider-Man,Marvel,4999.0,0,18,2099,5.0,False,False,True
Armadura Robótica de Venom vs. Miles Morales,Marvel,349.0,0,6,134,,False,False,False
Figura de Spider-Man,Marvel,649.0,0,8,258,5.0,False,False,False
Nave de Baby Rocket,Marvel,849.0,0,8,330,4.8,False,False,False
Base de los Guardianes de la Galaxia,Marvel,259.0,0,7,67,4.6,False,False,False
Llavero de Spider-Man,Marvel,149.0,0,6,1,,True,False,False
Rocket y Bebé Groot,Marvel,1499.0,0,10,566,5.0,False,False,False
Llavero de Loki,Marvel,149.0,0,6,1,,True,False,False
Coche de Carreras de Spider-Man y Duende Verde Venomizado,Marvel,869.0,0,7,227,,False,False,False
Llavero de la Bruja Escarlata,Marvel,149.0,0,6,1,4.5,True,False,False
Llavero de Spider Fantasma,Marvel,149.0,0,6,1,,True,False,False
Warbird de Rocket vs. Ronan,Marvel,949.0,0,8,290,,False,False,False
Calendario de Adviento de Los Vengadores,Marvel,1149.0,30,7,243,1.9,False,False,False
Yo Soy Groot,Marvel,1399.0,0,10,476,4.5,False,False,False
Hulkbuster​,Marvel,12999.0,20,18,4049,3.8,False,False,True
Meca y Moto del Motorista Fantasma,Marvel,849.0,0,7,264,4.8,False,False,False
Figura de Venom,Marvel,649.0,30,8,297,4.4,False,False,False
Cuartel General Arácnido del Equipo Spidey,Marvel,1399.0,0,4,193,,False,False,False
Armadura Robótica de Thanos,Marvel,349.0,30,6,113,4.3,False,False,False
Armería de Iron Man,Marvel,2399.0,30,7,496,2.8,False,False,False
